,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Lafayette,US,81.91,clear sky,30.23,-92.07,Hilton Garden Inn Lafayette/Cajundome
287,Jati,PK,84.27,clear sky,24.35,68.27,Cafe Lala Rehan Restaurant
288,Ruwi,OM,94.69,few clouds,23.6,58.55,Al Falaj Hotel
296,Puerto Carreno,CO,80.89,overcast clouds,6.19,-67.49,Casa Hotel Victoria
302,Hobyo,SO,79.34,broken clouds,5.35,48.53,Halane Hotel and Restaurent
303,Providencia,MX,92.61,clear sky,28.72,-111.58,
313,Camopi,GF,81.19,heavy intensity rain,3.17,-52.32,
315,Naranjito,EC,81.43,broken clouds,-2.22,-79.48,canton marcelino maridueña
322,Thinadhoo,MV,83.43,few clouds,0.53,72.93,
328,Kovur,IN,90.18,overcast clouds,14.48,79.98,Hotel Yesh Park
337,Barra Do Garcas,BR,91.98,few clouds,-15.89,-52.26,Hotel Pousada Tropical
339,Mecca,SA,91.92,broken clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
345,Uruzgan,AF,75.29,clear sky,32.83,66.0,
347,Wukari,NG,83.93,scattered clouds,7.85,9.78,Elimtop
350,Esmeraldas,BR,84.31,moderate rain,-19.76,-44.31,Bom Será - Marcinho e Fernanda
353,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
354,Yenagoa,NG,78.13,light rain,4.92,6.26,Amba Hotels Limited
358,Auki,SB,75.88,few clouds,-8.77,160.7,Auki Motel
368,Barra Patuca,HN,86.88,overcast clouds,15.8,-84.28,
370,Belmonte,BR,82.9,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
373,Kochi,IN,80.19,overcast clouds,9.94,76.26,Hotel Abad
374,Bubaque,GW,78.06,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
378,Faanui,PF,79.65,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
379,Omboue,GA,77.22,overcast clouds,-1.57,9.26,Hotel Olako
381,The Valley,AI,87.66,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
384,Pochutla,MX,91.81,scattered clouds,15.74,-96.47,Hotel Posada San Jose
385,Cayenne,GF,83.08,clear sky,4.93,-52.33,Hôtel Le Dronmi
388,Port Blair,IN,81.9,overcast clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
389,Padang,ID,75.69,overcast clouds,-0.95,100.35,Mercure Padang
390,Tual,ID,81.27,overcast clouds,-5.67,132.75,Grand Vilia Hotel
