city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Lorengau,PG,-2.02,147.27,81.1,83,99,7.4,overcast clouds
83,Les Cayes,HT,18.20,-73.75,85.5,63,7,11.23,clear sky
84,Marquette,US,46.53,-87.63,66.83,27,100,9.1,overcast clouds
85,Khatanga,RU,71.97,102.50,35.85,99,96,5.44,overcast clouds
86,Castro,BR,-24.79,-50.01,56.53,98,100,3.29,overcast clouds
87,Sistranda,NO,63.73,8.83,48.16,85,99,6.91,overcast clouds
88,Broome,US,42.25,-75.83,52.81,82,90,1.01,overcast clouds
89,Deputatskiy,RU,69.30,139.90,47.16,60,39,4.05,scattered clouds
90,Mabaruma,GY,8.20,-59.78,79.72,88,100,6.33,overcast clouds
91,Salalah,OM,17.02,54.09,84.29,84,40,10.36,scattered clouds
92,Namtsy,RU,62.72,129.67,46.4,71,20,2.24,few clouds
93,Ankpa,NG,7.37,7.63,80.98,70,80,5.39,broken clouds
94,Sorland,NO,67.67,12.69,46.47,95,100,16.02,overcast clouds
95,Masunga,BW,-20.62,27.45,58.64,31,1,7.05,clear sky
96,Umm Kaddadah,SD,13.60,26.69,93.29,11,3,9.78,clear sky
97,Vila Velha,BR,-20.33,-40.29,85.96,68,0,11.01,clear sky
98,Manado,ID,1.49,124.85,77.0,94,40,1.14,moderate rain
99,Ribeira Grande,PT,38.52,-28.70,69.8,64,40,14.97,scattered clouds
100,Klaksvik,FO,62.23,-6.59,55.4,76,20,20.71,few clouds
101,Yuxia,CN,34.06,108.63,69.8,64,0,6.71,clear sky
102,Canico,PT,32.63,-16.85,68.0,60,20,10.36,few clouds
103,Bellary,IN,15.15,76.93,81.27,65,98,17.96,overcast clouds
104,Barrow,US,71.29,-156.79,30.22,86,90,12.66,overcast clouds
105,Batagay-Alyta,RU,67.80,130.41,42.22,80,100,6.71,overcast clouds
106,Diamantino,BR,-14.41,-56.45,89.71,32,100,1.48,overcast clouds
107,Longyearbyen,SJ,78.22,15.64,33.64,75,75,5.75,broken clouds
108,Souillac,MU,-20.52,57.52,73.36,94,40,6.85,scattered clouds
109,Avarua,CK,-21.21,-159.78,68.05,83,51,2.3,broken clouds
110,Kahului,US,20.89,-156.47,77.0,65,20,3.44,few clouds
111,Komsomolskiy,UZ,40.43,71.72,79.52,25,92,6.91,overcast clouds
112,Yellowknife,CA,62.46,-114.35,45.12,65,75,9.22,broken clouds
113,Ponta Delgada,PT,37.73,-25.67,66.92,63,20,13.8,few clouds
114,Bengkulu,ID,-3.80,102.27,75.87,88,99,5.23,light rain
115,Hannibal,US,39.71,-91.36,70.34,32,1,3.44,clear sky
116,Bogorodskoye,RU,56.55,37.88,41.9,71,24,7.4,few clouds
117,Avera,US,33.19,-82.53,73.4,60,90,6.91,overcast clouds
118,Okhotsk,RU,59.38,143.30,37.33,93,100,6.17,overcast clouds
119,Erenhot,CN,43.65,111.98,64.89,37,100,27.04,overcast clouds
120,Jiujiang,CN,29.73,115.98,73.24,87,99,3.18,light rain
121,Tiffin,US,41.11,-83.18,64.99,40,5,12.03,clear sky
122,Waingapu,ID,-9.66,120.26,76.57,81,67,4.92,broken clouds
123,Coquimbo,CL,-29.95,-71.34,56.93,88,20,7.43,few clouds
124,Airai,TL,-8.93,125.41,57.99,89,100,1.39,overcast clouds
125,Susangerd,IR,31.56,48.18,104.0,11,0,4.61,clear sky
126,Atar,MR,20.52,-13.05,98.96,18,74,3.78,broken clouds
127,Ancud,CL,-41.87,-73.82,57.22,94,100,19.13,moderate rain
128,Sao Miguel Do Araguaia,BR,-13.28,-50.16,92.66,28,22,3.24,few clouds
129,Nortelandia,BR,-14.45,-56.80,92.03,28,100,2.84,overcast clouds
130,Savannah Bight,HN,16.45,-85.85,91.45,78,9,21.47,clear sky
131,Cidreira,BR,-30.18,-50.21,56.03,47,46,10.4,scattered clouds
132,Honiara,SB,-9.43,159.95,76.3,89,100,3.02,overcast clouds
133,Kosonsoy,UZ,41.26,71.55,73.96,48,6,8.5,clear sky
134,Nagato,JP,34.38,131.20,64.31,61,0,5.23,clear sky
135,Mar Del Plata,AR,-38.00,-57.56,57.99,42,0,1.01,clear sky
136,Chifeng,CN,42.27,118.96,60.33,57,100,4.38,overcast clouds
137,Arraial Do Cabo,BR,-22.97,-42.03,78.76,73,75,6.91,broken clouds
138,Maniitsoq,GL,65.42,-52.90,35.31,86,76,5.26,broken clouds
139,Pringsewu,ID,-5.36,104.97,73.51,96,78,2.93,broken clouds
140,Vardo,NO,70.37,31.11,43.0,75,75,13.8,broken clouds
141,Sao Filipe,CV,14.90,-24.50,73.62,77,72,15.79,broken clouds
142,Saint George,US,37.10,-113.58,93.67,11,1,1.99,clear sky
143,Beringovskiy,RU,63.05,179.32,36.07,75,9,9.6,clear sky
144,Mogadishu,SO,2.04,45.34,78.57,87,77,16.49,broken clouds
145,Brae,GB,60.40,-1.35,48.11,86,10,10.89,clear sky
146,Singleton,AU,-32.57,151.18,56.5,82,4,2.86,clear sky
147,Saint-Augustin,CA,51.23,-58.65,63.36,32,5,8.88,clear sky
148,Watertown,US,42.37,-71.18,50.0,93,90,13.8,moderate rain
149,Bilma,NE,18.69,12.92,93.99,8,1,5.12,clear sky
150,Seoul,KR,37.57,126.98,63.97,91,90,3.71,overcast clouds
151,Lakes Entrance,AU,-37.88,147.98,41.16,80,0,4.72,clear sky
152,Tuatapere,NZ,-46.13,167.68,49.82,96,100,6.8,overcast clouds
153,Nikolskoye,RU,59.70,30.79,51.69,63,0,2.59,clear sky
154,Mount Isa,AU,-20.73,139.50,51.57,50,9,4.61,clear sky
155,Geraldton,AU,-28.77,114.60,57.61,88,75,18.99,light rain
156,Nuoro,IT,40.32,9.33,65.39,74,5,1.21,clear sky
157,Bambous Virieux,MU,-20.34,57.76,73.0,94,40,4.61,scattered clouds
158,Sao Felix Do Xingu,BR,-6.64,-51.99,89.51,45,39,5.66,scattered clouds
159,Qaqortoq,GL,60.72,-46.03,48.2,46,0,6.91,clear sky
160,Talcahuano,CL,-36.72,-73.12,58.68,67,75,4.61,broken clouds
161,Garden City,US,42.33,-83.33,70.9,31,20,1.01,few clouds
162,Port Hardy,CA,50.70,-127.42,53.6,94,90,14.97,light rain
163,The Pas,CA,53.83,-101.25,50.02,62,40,6.4,scattered clouds
164,Muswellbrook,AU,-32.27,150.90,41.32,95,0,2.53,clear sky
165,Itacare,BR,-14.28,-39.00,84.2,74,40,6.91,scattered clouds
166,Dabat,ET,12.98,37.77,70.09,22,89,7.85,overcast clouds
167,Leningradskiy,RU,69.38,178.42,35.2,88,84,2.15,broken clouds
168,Alofi,NU,-19.06,-169.92,75.2,94,42,3.44,moderate rain
169,Tyup,KG,42.73,78.36,55.85,63,100,2.19,overcast clouds
170,Mahebourg,MU,-20.41,57.70,73.26,94,40,4.61,scattered clouds
171,Vikhorevka,RU,56.12,101.16,33.8,93,100,4.47,light snow
172,Tiksi,RU,71.69,128.87,32.49,94,24,8.59,few clouds
173,Simao,CN,22.79,100.97,65.82,97,100,1.79,overcast clouds
174,Melfi,IT,41.00,15.65,61.09,63,7,4.47,clear sky
175,Tanete,ID,-3.94,119.78,74.23,95,15,3.33,few clouds
176,Dharchula,IN,29.85,80.53,67.48,84,76,3.29,broken clouds
177,Gazli,UZ,40.13,63.45,92.95,12,1,11.72,clear sky
178,Sitka,US,57.05,-135.33,51.69,82,90,4.61,light rain
179,Victoria,HK,22.29,114.16,86.38,88,100,1.01,overcast clouds
180,Hasaki,JP,35.73,140.83,61.2,69,55,12.06,broken clouds
181,Coihaique,CL,-45.58,-72.07,48.15,87,90,8.05,moderate rain
